Angular Second Moment_0,Angular Second Moment_1,Angular Second Moment_2,Angular Second Moment_3,Contrast_0,Contrast_1,Contrast_2,Contrast_3,Correlation_0,Correlation_1,Correlation_2,Correlation_3,Sum of Squares Variance_0,Sum of Squares Variance_1,Sum of Squares Variance_2,Sum of Squares Variance_3,Inverse Difference Moment_0,Inverse Difference Moment_1,Inverse Difference Moment_2,Inverse Difference Moment_3,Sum Average_0,Sum Average_1,Sum Average_2,Sum Average_3,Sum Variance_0,Sum Variance_1,Sum Variance_2,Sum Variance_3,Sum Entropy_0,Sum Entropy_1,Sum Entropy_2,Sum Entropy_3,Entropy_0,Entropy_1,Entropy_2,Entropy_3,Difference Variance_0,Difference Variance_1,Difference Variance_2,Difference Variance_3,Difference Entropy_0,Difference Entropy_1,Difference Entropy_2,Difference Entropy_3,Information Measure of Correlation 1_0,Information Measure of Correlation 1_1,Information Measure of Correlation 1_2,Information Measure of Correlation 1_3,Information Measure of Correlation 2_0,Information Measure of Correlation 2_1,Information Measure of Correlation 2_2,Information Measure of Correlation 2_3,diagnosis
0.002085524,0.001640899,0.002011215,0.001648111,6.355912613,8.532320342,4.071495664,8.610133703,0.995349142,0.993766493,0.99704888,0.993677989,683.30544,684.3916662,689.8221886,680.9647662,0.449962467,0.383406792,0.448628529,0.382132296,313.0525437,313.0189406,313.1358021,313.1073434,2726.865848,2729.034344,2755.217259,2715.248931,7.518992998,7.517865336,7.51984114,7.515915515,9.563776501,9.887063675,9.552194095,9.888847825,0.000934277,0.000768584,0.000929073,0.000766615,2.314220948,2.585325267,2.262980164,2.59094947,-0.533515071,-0.484071186,-0.536187362,-0.483326666,0.999524724,0.999094507,0.99954297,0.999083874,0
0.001343928,0.001070559,0.001336697,0.001120459,5.471645709,8.500032819,5.37387515,7.666621853,0.99694684,0.995242835,0.997003051,0.995727256,896.0628334,893.392737,896.5576229,897.1542819,0.402522133,0.340074307,0.402380867,0.353092087,352.2653594,352.330785,352.2210159,352.2442788,3578.779688,3565.070915,3580.856616,3580.950506,7.774274872,7.771146087,7.774839153,7.773540016,10.02986539,10.34797462,10.02332491,10.27820018,0.000884681,0.000723228,0.00088763,0.000758362,2.445022766,2.727507068,2.432544836,2.65988158,-0.52005024,-0.472791715,-0.521133863,-0.48353154,0.999565739,0.999174703,0.999572314,0.999287888,0
0.001116052,0.000866593,0.001079842,0.000891446,43.60533381,46.15637897,8.896164015,45.67855868,0.984183854,0.98324762,0.996781107,0.983429329,1378.506968,1377.606643,1381.867021,1378.295354,0.438940644,0.368962611,0.435682091,0.376832172,306.2434213,306.2564306,306.2864347,306.2348468,5470.422537,5464.270192,5518.571921,5467.502856,8.156865136,8.155152609,8.162075345,8.15578439,10.28757128,10.63369742,10.26672182,10.59425023,0.000891957,0.000724026,0.000879757,0.000740232,2.412705793,2.702577464,2.36175503,2.671835163,-0.564126419,-0.515693571,-0.567423748,-0.521313818,0.999845704,0.999690928,0.999853148,0.999715009,0
0.001507916,0.001292544,0.001574627,0.001279901,6.28839796,8.557621861,5.88768871,8.732155486,0.99420061,0.992107339,0.99457903,0.991942218,542.1602555,542.1252469,543.047479,541.846072,0.379197902,0.33771329,0.391061823,0.334866418,305.6018871,305.612214,305.5689556,305.6180138,2162.352624,2159.943366,2166.302227,2158.652132,7.527176789,7.526047414,7.528139152,7.525494992,9.888828077,10.11163773,9.842103584,10.12547449,0.000840169,0.000732008,0.000868969,0.000725079,2.533064978,2.731418548,2.491863595,2.744463476,-0.485711461,-0.451591797,-0.493032851,-0.449369424,0.999120745,0.998626729,0.999201527,0.998585701,0
0.002890645,0.002198142,0.002695707,0.002321709,4.560588655,6.712301302,3.604969241,6.379928708,0.996579863,0.994955777,0.997310295,0.995219383,666.7260153,665.3453589,670.1420481,667.2704918,0.493929031,0.410044466,0.475330942,0.427114227,316.1413141,316.1753781,316.2020393,316.1228401,2662.343473,2654.669134,2676.963223,2662.702038,7.344944867,7.341916754,7.341165429,7.344064339,9.194905502,9.580106267,9.259185262,9.502061738,0.001027864,0.000815774,0.000981855,0.000857273,2.152756053,2.476073144,2.188873271,2.40795757,-0.55354058,-0.492725981,-0.543486936,-0.505351484,0.999560758,0.999047214,0.999500992,0.999189755,0
0.001428795,0.001208028,0.001404545,0.001216748,7.807025719,10.88381698,8.060195405,10.69770493,0.991988521,0.988826173,0.991740193,0.989020348,487.239954,487.0227919,487.9166959,487.1604736,0.348384136,0.306150401,0.34402676,0.308005886,263.6355503,263.645644,263.6299046,263.6404631,1941.15279,1937.20735,1943.606588,1937.944189,7.42940497,7.426349744,7.429946808,7.426715643,9.95142152,10.18948724,9.976578172,10.17778697,0.000783368,0.000672619,0.000772223,0.000677879,2.672081804,2.888386854,2.692375873,2.876919668,-0.453751039,-0.416680488,-0.450024439,-0.418557246,0.998545312,0.9976541,0.998474819,0.997710611,0
0.001604068,0.001255201,0.001501168,0.001264982,6.812694552,10.77075026,7.322295485,10.5163447,0.995263851,0.992488252,0.994905348,0.992683653,719.2229902,716.9269806,718.6257199,718.6882243,0.384892898,0.320103393,0.367688236,0.322401685,319.1986912,319.2492017,319.2143229,319.2037941,2870.079266,2856.937172,2867.180584,2864.236553,7.594848778,7.590784242,7.594547824,7.592157572,9.954190763,10.298243,10.03380656,10.28320959,0.000822319,0.000661421,0.000778588,0.000667985,2.569850697,2.87624473,2.636657866,2.859823553,-0.491582667,-0.439098447,-0.479553577,-0.441668818,0.999238918,0.998475972,0.99910804,0.998528441,0
0.001295507,0.001055504,0.001306417,0.001075297,15.83266326,18.45132626,5.729427423,18.09718518,0.989902199,0.98821499,0.996378549,0.988461589,783.9658762,782.8303463,791.0403191,784.2147785,0.390054647,0.337748203,0.397590189,0.343297571,266.2742963,266.3041368,266.370835,266.253608,3120.030841,3112.870059,3158.431849,3118.761929,7.703683685,7.700891188,7.702576241,7.702408564,10.02597721,10.29577064,9.985851124,10.26850521,0.000785867,0.000665078,0.00080826,0.000678063,2.536810697,2.763728744,2.474254267,2.73694936,-0.504371582,-0.463898522,-0.510993158,-0.468259697,0.999421452,0.999003478,0.999472159,0.999061222,0
0.00167733,0.001390136,0.001764832,0.001456482,6.053158745,8.587608773,5.29400729,7.919759753,0.992484433,0.989336899,0.993436487,0.990154365,402.7080583,402.6787557,403.2906893,402.196479,0.393510444,0.341992037,0.409024986,0.353899619,221.4704898,221.4690846,221.4847445,221.4937062,1604.779074,1602.127414,1607.86875,1600.866156,7.329409405,7.327349609,7.331124416,7.326759331,9.63678333,9.904153418,9.558646165,9.836477115,0.000937094,0.000797206,0.000989106,0.00083003,2.506730985,2.728590456,2.419392135,2.675370965,-0.478556448,-0.436339103,-0.491126994,-0.446737857,0.998834835,0.998010066,0.999007405,0.998254064,0
0.001821202,0.001551081,0.001881363,0.001570927,10.05718601,13.18522503,8.948290363,12.9373369,0.986140155,0.98182794,0.987697425,0.98216371,362.8173983,362.7883987,363.6755166,362.6689371,0.324817314,0.287792284,0.335688101,0.290447918,251.9361043,251.9397775,251.9272491,251.9437709,1441.212407,1437.96837,1445.753776,1437.738411,7.099913737,7.096254249,7.102441989,7.096401543,9.7780178,9.983634629,9.708129094,9.969218474,0.000669261,0.000585213,0.000701456,0.000591144,2.838533702,3.015957733,2.761060518,3.004037586,-0.399729025,-0.366080553,-0.411513498,-0.368385408,0.996212774,0.994281,0.996725161,0.994439442,0
