Angular Second Moment_0,Angular Second Moment_1,Angular Second Moment_2,Angular Second Moment_3,Contrast_0,Contrast_1,Contrast_2,Contrast_3,Correlation_0,Correlation_1,Correlation_2,Correlation_3,Sum of Squares: Variance_0,Sum of Squares: Variance_1,Sum of Squares: Variance_2,Sum of Squares: Variance_3,Inverse Difference Moment_0,Inverse Difference Moment_1,Inverse Difference Moment_2,Inverse Difference Moment_3,Sum Average_0,Sum Average_1,Sum Average_2,Sum Average_3,Sum Variance_0,Sum Variance_1,Sum Variance_2,Sum Variance_3,Sum Entropy_0,Sum Entropy_1,Sum Entropy_2,Sum Entropy_3,Entropy_0,Entropy_1,Entropy_2,Entropy_3,Difference Variance_0,Difference Variance_1,Difference Variance_2,Difference Variance_3,Difference Entropy_0,Difference Entropy_1,Difference Entropy_2,Difference Entropy_3,Information Measure of Correlation 1_0,Information Measure of Correlation 1_1,Information Measure of Correlation 1_2,Information Measure of Correlation 1_3,Information Measure of Correlation 2_0,Information Measure of Correlation 2_1,Information Measure of Correlation 2_2,Information Measure of Correlation 2_3,diagnosis
0.001321002,0.001096828,0.001224936,0.001075888,7.742324854,10.08533377,6.238110502,10.52695438,0.994780502,0.993174732,0.995811545,0.992888219,741.6733201,738.8232458,744.6791311,740.1067526,0.405456225,0.354029541,0.385941578,0.349074568,266.1857936,266.2725798,266.3181624,266.2251472,2958.950955,2945.207649,2972.478414,2949.900056,7.747556306,7.74369886,7.746165307,7.744824696,9.99579977,10.26200969,10.08927129,10.28695646,0.000829631,0.000701834,0.000776669,0.000691517,2.455130708,2.694508485,2.527709837,2.714867333,-0.518861725,-0.478743179,-0.505046442,-0.475318883,0.999545464,0.99921648,0.999452351,0.999180363,0
0.001617961,0.001336097,0.001666418,0.001373501,7.188126995,9.403865458,5.060809881,9.001166853,0.993589058,0.991592803,0.995489307,0.991977305,560.6139332,559.274724,560.9791707,560.981516,0.408403197,0.355436743,0.418786329,0.363702754,269.2299599,269.2748905,269.2482048,269.2200887,2235.267606,2227.695031,2238.855873,2234.924897,7.49528103,7.492162462,7.495949629,7.494128231,9.733509383,9.991814659,9.670048255,9.952107768,0.000922725,0.000788836,0.000962424,0.000808914,2.458035348,2.667684091,2.378776969,2.633741068,-0.502453711,-0.462418657,-0.512260015,-0.468899529,0.99927135,0.998772154,0.999358709,0.99887306,0
0.00481914,0.003891638,0.004311113,0.003805876,4.596467398,7.135701869,5.829403541,7.468691663,0.992050824,0.987656444,0.989944826,0.987077705,289.1159828,289.0456202,289.8708456,288.9847223,0.421290798,0.359738913,0.389944206,0.353392694,297.6087436,297.6126463,297.5863124,297.6144656,1151.867464,1149.046779,1153.653979,1148.470197,6.406009617,6.394969619,6.401496479,6.393437448,8.548496869,8.855914071,8.716333158,8.88792461,0.00096007,0.000791319,0.000868094,0.000774338,2.333310161,2.613447681,2.485835535,2.643564367,-0.424078708,-0.367353296,-0.393339243,-0.36142847,0.994965339,0.990662468,0.992969192,0.990038904,1
0.002377791,0.00190404,0.002237958,0.00194448,5.574474323,8.421956695,6.144176149,8.158172147,0.993382975,0.990001797,0.99272305,0.990312397,421.2221187,421.1735073,422.1670009,421.0624652,0.39644627,0.338953004,0.38157597,0.343308637,288.6729635,288.6822957,288.66198,288.6854724,1679.314001,1676.272072,1682.523827,1676.091689,7.1190806,7.114942671,7.11906352,7.115146566,9.394525282,9.692619926,9.46707981,9.668196499,0.000905466,0.000751252,0.00086737,0.000762804,2.45651519,2.720436674,2.51609931,2.699407229,-0.466540899,-0.417866723,-0.454907942,-0.421801387,0.998352868,0.997007368,0.998101738,0.997147935,0
0.0013197,0.001087904,0.001275487,0.00110102,5.46529063,7.897245842,5.738820955,7.742827335,0.997007751,0.995676201,0.996863966,0.995760382,913.2414106,913.2299256,914.9807105,913.1515719,0.402868426,0.350231843,0.394772877,0.353517519,341.3774787,341.3932737,341.3319584,341.3936401,3647.500352,3645.022456,3654.184021,3644.86346,7.785890609,7.784088022,7.786664038,7.784029434,10.02988952,10.2984658,10.07056055,10.28354864,0.000918092,0.000777504,0.000895943,0.000784845,2.445801933,2.680761688,2.476781018,2.668433405,-0.522813979,-0.483270147,-0.517050728,-0.485427127,0.999587226,0.999293735,0.999554095,0.99931401,0
0.001744666,0.001422207,0.001845735,0.001478268,7.017713088,9.035784559,4.133966742,8.570921083,0.995614602,0.994344827,0.99744039,0.994645686,800.1226921,798.895567,807.5382616,800.3752154,0.427927886,0.372331887,0.449421888,0.383327335,264.6249327,264.659584,264.4708387,264.6038957,3193.473055,3186.546483,3226.01908,3192.929941,7.624806356,7.621434364,7.627440141,7.623296044,9.77725772,10.05026245,9.640723618,9.99593989,0.00095513,0.00080871,0.001025561,0.000838348,2.415688956,2.641227463,2.257089991,2.592303412,-0.525036634,-0.483593916,-0.546244682,-0.492119841,0.99952569,0.999177328,0.999643052,0.99926632,0
0.001738514,0.001352149,0.001606638,0.001402356,4.737851975,7.595290038,5.416388979,7.126130652,0.996367757,0.994173778,0.995853383,0.994535406,652.1937363,651.8195239,653.1094319,652.027505,0.419149678,0.350811554,0.397302821,0.359688836,286.0304266,286.0622081,286.0354065,286.0517757,2604.037093,2599.682806,2607.021339,2600.983889,7.513570012,7.510667577,7.513755962,7.511160339,9.675420573,10.0163606,9.774639605,9.970241647,0.001060749,0.000857922,0.000999077,0.000885179,2.354532159,2.654274788,2.436941723,2.61285083,-0.515558111,-0.463190866,-0.500524674,-0.470269161,0.999396969,0.998805906,0.999266973,0.998911219,0
0.001288743,0.001057515,0.001329241,0.001068236,7.573714882,9.808731094,5.200693121,9.69930623,0.996514184,0.995487884,0.99761982,0.99553169,1086.361948,1086.932422,1092.499741,1085.343866,0.399134968,0.349074526,0.413241535,0.351371458,299.4716838,299.4558746,299.3516143,299.5064385,4337.874077,4337.920958,4364.798269,4331.676156,7.889830287,7.888803485,7.892989728,7.887821476,10.20700943,10.45764223,10.10322989,10.44678805,0.000910311,0.000779975,0.000959121,0.000784766,2.537861295,2.743491667,2.413164031,2.735627414,-0.519336387,-0.483052767,-0.534935838,-0.484398473,0.999611447,0.999359356,0.999687509,0.999370502,0
0.001220663,0.00099369,0.001219089,0.001009237,32.88867516,35.38767679,5.922756298,35.13772496,0.980413564,0.978888222,0.996502786,0.979076541,839.5778537,838.1027074,846.7821089,839.6729463,0.399077719,0.34506614,0.401580363,0.349558102,301.1073263,301.1492896,301.0016421,301.1009131,3325.42274,3317.023153,3381.205679,3323.55406,7.828337182,7.82604911,7.830286478,7.827377676,10.11247505,10.38517694,10.09171483,10.36382609,0.000795029,0.000674969,0.000808083,0.000684265,2.533771693,2.752809068,2.488264682,2.733570122,-0.519870433,-0.479695904,-0.523156666,-0.483084349,0.999588875,0.999287253,0.999607402,0.999320285,0
0.000802627,0.000682708,0.000825842,0.000686429,7.80111285,10.33905873,7.066364469,10.33474871,0.997401175,0.996553868,0.997648526,0.996554711,1500.892116,1500.096329,1502.539251,1499.837569,0.367551574,0.32699738,0.377381244,0.327698267,332.0592975,332.082788,332.0962902,332.0898492,5995.76735,5990.046257,6003.090638,5989.015527,8.199809019,8.198285888,8.200795495,8.198112438,10.63838446,10.85874581,10.58498816,10.8531137,0.000743375,0.000649452,0.000770624,0.000650929,2.675417016,2.858865059,2.613071682,2.858251393,-0.523092194,-0.492414705,-0.530622548,-0.493147436,0.999733153,0.999584659,0.999760736,0.999588925,0
