Angular Second Moment_0,Angular Second Moment_1,Angular Second Moment_2,Angular Second Moment_3,Contrast_0,Contrast_1,Contrast_2,Contrast_3,Correlation_0,Correlation_1,Correlation_2,Correlation_3,Sum of Squares: Variance_0,Sum of Squares: Variance_1,Sum of Squares: Variance_2,Sum of Squares: Variance_3,Inverse Difference Moment_0,Inverse Difference Moment_1,Inverse Difference Moment_2,Inverse Difference Moment_3,Sum Average_0,Sum Average_1,Sum Average_2,Sum Average_3,Sum Variance_0,Sum Variance_1,Sum Variance_2,Sum Variance_3,Sum Entropy_0,Sum Entropy_1,Sum Entropy_2,Sum Entropy_3,Entropy_0,Entropy_1,Entropy_2,Entropy_3,Difference Variance_0,Difference Variance_1,Difference Variance_2,Difference Variance_3,Difference Entropy_0,Difference Entropy_1,Difference Entropy_2,Difference Entropy_3,Information Measure of Correlation 1_0,Information Measure of Correlation 1_1,Information Measure of Correlation 1_2,Information Measure of Correlation 1_3,Information Measure of Correlation 2_0,Information Measure of Correlation 2_1,Information Measure of Correlation 2_2,Information Measure of Correlation 2_3,diagnosis
0.001382058,0.00108794,0.001335858,0.001140199,24.39014055,35.50328773,31.71394713,35.07755068,0.991256975,0.987235737,0.988628654,0.987389696,1394.834136,1390.730076,1394.467626,1390.828903,0.445781592,0.37716931,0.439376356,0.389585306,283.9637415,284.0397212,284.0742717,284.0341216,5554.946403,5527.417017,5546.156557,5528.238062,8.001388351,8.000469492,7.999594197,8.000954703,10.11411639,10.44779174,10.11823523,10.3877316,0.000873923,0.000714134,0.000863148,0.000743322,2.42399305,2.698380419,2.407652631,2.64713662,-0.558152185,-0.510330265,-0.557468281,-0.518919857,0.999801273,0.999610774,0.999799251,0.999655007,0
0.001516702,0.001258446,0.001414092,0.001216929,3.805454455,5.558792385,4.522421015,5.999430851,0.998493494,0.997797091,0.998208691,0.997621686,1263.006527,1261.693686,1262.322696,1261.278024,0.476828375,0.422440166,0.455959602,0.412122781,349.4808258,349.5037914,349.4826208,349.5164303,5048.220652,5041.21595,5044.768361,5039.112665,7.99798531,7.996981619,7.997738886,7.996614213,9.893146254,10.16780356,10.01493783,10.2190517,0.001026538,0.000882322,0.000965729,0.00085374,2.226802526,2.457977668,2.33066877,2.506571573,-0.586808504,-0.547386954,-0.569315365,-0.540006247,0.999864842,0.999765036,0.999827237,0.999739377,1
0.001519135,0.001206786,0.001481984,0.001212913,6.706154001,8.859228537,3.893952611,8.741015414,0.997857103,0.997167696,0.998760173,0.997205572,1564.739897,1563.961243,1570.361253,1564.007989,0.4764234,0.406454318,0.469334114,0.408226144,344.8658325,344.8865547,344.9392322,344.8869089,6252.253433,6246.985742,6277.551058,6247.290941,8.047338754,8.045597598,8.044328875,8.045799026,9.986822285,10.31381478,9.990942043,10.30201069,0.000974495,0.000799753,0.000955362,0.000806098,2.252815966,2.535582817,2.242369674,2.52266447,-0.583911927,-0.537463317,-0.583766926,-0.539176403,0.999867515,0.999744786,0.999867583,0.99975093,0
0.0016775,0.001283271,0.001595401,0.001357958,5.666594887,8.31256931,4.479097726,7.624215931,0.995878361,0.993949018,0.996762094,0.994452487,687.4201412,686.8777036,691.6657265,687.1742718,0.444677254,0.370447055,0.436265712,0.385710368,274.7000989,274.7185693,274.7625473,274.7077422,2744.01397,2739.198245,2762.183808,2741.072871,7.660386544,7.658620089,7.66074218,7.659147248,9.7440903,10.09828415,9.755678523,10.0237088,0.000915669,0.00073791,0.000899818,0.00077332,2.336975595,2.630246899,2.314632722,2.566851438,-0.537688705,-0.484433202,-0.536374855,-0.495671318,0.99961363,0.999213841,0.99960762,0.999323357,0
0.001494767,0.001158585,0.00142651,0.001237837,6.307989642,9.474299091,5.612227976,8.790436655,0.995152822,0.992713572,0.995710261,0.993239922,650.6867815,650.1332787,654.1455513,650.1726912,0.419152786,0.348391298,0.407766319,0.365562599,183.0459931,183.0625886,183.0957853,183.0604832,2596.439136,2591.058816,2610.969977,2591.900328,7.599091689,7.596368154,7.598528705,7.597539902,9.796711104,10.15567941,9.862223653,10.06568439,0.000854068,0.000682155,0.000818548,0.000723517,2.411770752,2.727302525,2.458264779,2.646618143,-0.516236263,-0.461741696,-0.506470452,-0.475398436,0.999452356,0.998874447,0.999377389,0.99906035,0
0.001844731,0.001597785,0.001851863,0.001608568,10.34090754,13.22652686,6.489122505,13.01125706,0.997030424,0.996195896,0.998134391,0.99625765,1741.141872,1738.454791,1739.142788,1738.380351,0.421728354,0.365273194,0.422504571,0.367918245,292.3795378,292.3823659,292.344712,292.3880397,6954.226581,6940.592638,6950.082031,6940.510149,7.996382447,7.995787673,7.995711401,7.995614027,10.25607583,10.53564483,10.20680853,10.51994703,0.000781946,0.000653513,0.000790123,0.000659233,2.591183539,2.834319578,2.526496533,2.822042769,-0.538478643,-0.498453089,-0.545435363,-0.500674539,0.99973886,0.999541586,0.999763075,0.999555626,0
0.001260551,0.001032894,0.001191528,0.001026923,4.623732095,6.804738319,4.803824209,6.827258738,0.998127292,0.997239479,0.998053484,0.997230441,1234.504149,1232.509964,1233.954771,1232.55328,0.459082382,0.401978383,0.443786309,0.400569738,335.3775769,335.4033442,335.3973686,335.4013435,4933.392863,4923.235117,4931.015262,4923.385862,8.059527723,8.057902678,8.059268633,8.057922754,10.04347211,10.34254487,10.14257131,10.34846192,0.000933367,0.000790364,0.000893439,0.000788414,2.281900635,2.537456356,2.357814558,2.539954296,-0.577755345,-0.535097455,-0.563664686,-0.534267575,0.999857041,0.999738437,0.999825504,0.999735365,0
0.001389156,0.001145448,0.001324817,0.00114331,6.131886427,9.53525774,6.721268258,9.50765328,0.996970329,0.995247697,0.996666154,0.995260812,1011.972482,1003.225004,1008.03533,1003.088876,0.413271898,0.357046814,0.398675515,0.355856273,289.9615065,290.0300652,290.0739139,290.0349626,4041.758042,4003.364757,4025.420051,4002.847852,7.876863125,7.872764149,7.874940594,7.872366,10.09054127,10.40403298,10.19317032,10.40796725,0.000833329,0.00069372,0.000787654,0.000691261,2.442663001,2.73344233,2.54506438,2.736839049,-0.533547284,-0.48716185,-0.518363231,-0.486556959,0.999676262,0.999384713,0.999600494,0.999379481,0
0.00116074,0.000943557,0.001162908,0.000955963,21.83183043,24.2544125,5.768302164,24.04865813,0.989852776,0.98872213,0.997345275,0.988815244,1075.753818,1075.310019,1086.421904,1075.064045,0.411831697,0.356188016,0.415937842,0.3595747,281.6958729,281.7128619,281.5641793,281.7198817,4281.183443,4276.985665,4339.919315,4276.207522,7.949231282,7.947520166,7.949461701,7.947326066,10.17757798,10.4561169,10.147905,10.43643758,0.000840828,0.000706653,0.000851778,0.000715207,2.44224976,2.682382842,2.398648178,2.66481271,-0.535772502,-0.495662858,-0.54069229,-0.498426597,0.999708688,0.999491094,0.999728859,0.999510128,0
0.001603753,0.001437161,0.002871468,0.001460239,15.34639647,17.2257372,4.605925882,16.8921211,0.995775527,0.995252575,0.998732556,0.995344826,1816.368281,1814.219096,1817.014266,1814.338416,0.470698283,0.417824461,0.534614221,0.426304478,381.7586412,381.7887723,381.706297,381.7835275,7250.126728,7239.650645,7263.451139,7240.461541,8.090813761,8.089228354,8.049945214,8.089359573,10.10645879,10.35757249,9.788380573,10.31804848,0.000956244,0.000809445,0.001019354,0.000832311,2.305862008,2.551086042,2.167267762,2.510776626,-0.57972374,-0.544251799,-0.624489424,-0.549816659,0.99986942,0.999783449,0.999930977,0.999799948,0
0.002182564,0.001759234,0.00195642,0.001708424,3.977765278,7.470002602,5.789377545,7.739614907,0.99860963,0.997373099,0.997967734,0.997279263,1430.47053,1421.827983,1424.364851,1422.338197,0.512993415,0.44626765,0.480652834,0.437536141,360.3379919,360.4289153,360.4093468,360.4153342,5717.904356,5679.841928,5691.670025,5681.613172,7.949413481,7.94722353,7.949446319,7.947338388,9.700948802,10.05904302,9.89397916,10.09677823,0.001033771,0.000862826,0.000948959,0.000842444,2.164594537,2.479893324,2.332926149,2.510704575,-0.605999731,-0.554026181,-0.578056897,-0.548662423,0.999891362,0.999775424,0.999839527,0.999758099,0
0.003270533,0.002744738,0.003130556,0.002699569,6.620275377,8.876155017,5.580340904,9.055308392,0.992534317,0.989954813,0.993739597,0.989757454,443.3804161,441.8113299,445.6854273,442.0438038,0.41152221,0.360758756,0.399838062,0.356557854,296.7759348,296.8293183,296.8701385,296.8214999,1766.901389,1758.369164,1777.161368,1759.119907,6.908774343,6.901596237,6.904980029,6.901165477,9.109589806,9.368445711,9.177511263,9.39061316,0.000848694,0.000721835,0.000814591,0.000711604,2.406652628,2.641076705,2.457313818,2.660804033,-0.461042207,-0.416824321,-0.44956921,-0.413148114,0.997866937,0.996391485,0.99755625,0.99623153,1
0.001247888,0.001081694,0.001504766,0.001088756,5.807409998,7.880931997,4.400628986,7.806903389,0.998241978,0.997612084,0.998668356,0.997633556,1651.688485,1650.169227,1652.32988,1649.500808,0.398553762,0.355593045,0.445366006,0.357350543,366.2410319,366.2820873,366.2370376,366.2995751,6600.946529,6592.795978,6604.91889,6590.196327,7.953193226,7.951055525,7.954485855,7.950747778,10.23583936,10.45270854,10.02361647,10.44493706,0.000833908,0.00072563,0.000943497,0.000728824,2.476340073,2.67549464,2.309849405,2.6697303,-0.528823985,-0.497498217,-0.559324035,-0.498541877,0.99968143,0.99950698,0.999791615,0.999513924,0
0.001192145,0.000969068,0.001231351,0.001000855,4.779741086,6.97129474,4.309505895,6.597980867,0.998118969,0.997255504,0.998305195,0.997401655,1270.511158,1270.05024,1271.38718,1269.650719,0.429841924,0.372098798,0.441735938,0.380578127,270.4207512,270.4242609,270.422753,270.4395758,5077.264892,5073.229665,5081.239213,5072.004895,7.976142693,7.974440727,7.977426912,7.974202298,10.09746296,10.38266982,10.03933526,10.3396468,0.000881831,0.000745139,0.000917485,0.000764111,2.358525058,2.593475725,2.290861335,2.558409227,-0.553314914,-0.51239483,-0.561796147,-0.518458532,0.999778925,0.99960846,0.999803775,0.999640066,0
0.001166458,0.00087931,0.001067595,0.000919834,4.998423925,7.928597822,4.756311458,7.309447137,0.998235833,0.997200135,0.998325166,0.997417957,1416.652807,1415.889492,1419.934803,1415.438711,0.461062952,0.378354994,0.434939088,0.390639844,297.9601529,297.9691325,297.9975014,297.9851736,5661.612802,5655.629371,5674.982902,5654.445395,8.154943114,8.153254,8.152537609,8.153196761,10.15179062,10.55215944,10.26006079,10.48837643,0.000947668,0.000741575,0.000878761,0.000773073,2.270972259,2.616336421,2.360673399,2.558004976,-0.582399494,-0.52641892,-0.567374733,-0.535255053,0.999880776,0.999734069,0.999852227,0.999765597,0
