Angular Second Moment_0,Angular Second Moment_1,Angular Second Moment_2,Angular Second Moment_3,Contrast_0,Contrast_1,Contrast_2,Contrast_3,Correlation_0,Correlation_1,Correlation_2,Correlation_3,Sum of Squares Variance_0,Sum of Squares Variance_1,Sum of Squares Variance_2,Sum of Squares Variance_3,Inverse Difference Moment_0,Inverse Difference Moment_1,Inverse Difference Moment_2,Inverse Difference Moment_3,Sum Average_0,Sum Average_1,Sum Average_2,Sum Average_3,Sum Variance_0,Sum Variance_1,Sum Variance_2,Sum Variance_3,Sum Entropy_0,Sum Entropy_1,Sum Entropy_2,Sum Entropy_3,Entropy_0,Entropy_1,Entropy_2,Entropy_3,Difference Variance_0,Difference Variance_1,Difference Variance_2,Difference Variance_3,Difference Entropy_0,Difference Entropy_1,Difference Entropy_2,Difference Entropy_3,Information Measure of Correlation 1_0,Information Measure of Correlation 1_1,Information Measure of Correlation 1_2,Information Measure of Correlation 1_3,Information Measure of Correlation 2_0,Information Measure of Correlation 2_1,Information Measure of Correlation 2_2,Information Measure of Correlation 2_3,diagnosis
0.00175126,0.001423796,0.001614392,0.001406576,4.163749627,6.238900338,4.600042938,6.394308083,0.997990513,0.996985287,0.99778184,0.996911198,1036.023118,1034.742138,1036.905063,1035.07894,0.471214257,0.408170634,0.446320428,0.404354353,333.4144457,333.4116875,333.4356984,333.3991751,4139.928724,4132.729651,4143.02021,4133.921451,7.7548822,7.75128313,7.751473151,7.751385347,9.680289982,9.99504436,9.814582963,10.01327451,0.000959515,0.000800134,0.000891697,0.000791461,2.237573085,2.508574935,2.34692108,2.523680103,-0.569369687,-0.522625369,-0.549438599,-0.520002925,0.999774741,0.999575451,0.999704862,0.999560264,0
0.003986826,0.00313143,0.003502502,0.003097874,5.479968562,8.369512147,6.927407465,8.559744787,0.990613316,0.985639685,0.988117576,0.985301847,291.9011932,291.4111569,291.4980872,291.18436,0.42539963,0.356321508,0.388497476,0.352584733,294.5236638,294.5393772,294.5443969,294.5465265,1162.124804,1157.275115,1159.064941,1156.177695,6.630704799,6.621835147,6.626438392,6.620939963,8.756549288,9.104023642,8.951059359,9.121096098,0.000888552,0.000715455,0.000791546,0.00070758,2.320911239,2.635837907,2.497170272,2.651672436,-0.448157436,-0.386444985,-0.413660545,-0.383306482,0.996814577,0.993595477,0.995294501,0.99336181,0
0.002946772,0.002471836,0.002759955,0.002407264,3.73274835,5.307243417,4.281308622,5.60512624,0.996622991,0.995194579,0.996138204,0.994923852,552.6707246,552.214253,554.3157439,552.1043263,0.456047324,0.403978461,0.437864133,0.396438504,334.2430069,334.2699342,334.2034788,334.2748097,2206.95015,2203.549769,2212.981667,2202.812179,7.174484523,7.170124615,7.174722963,7.169510656,9.153634786,9.40466506,9.253035354,9.442669867,0.001072255,0.000922977,0.001016109,0.000902655,2.205350131,2.424509825,2.290328215,2.45820418,-0.519397193,-0.478602531,-0.503684826,-0.472458216,0.99918714,0.998652533,0.999014251,0.99854613,0
0.001886601,0.001491061,0.00186424,0.001572048,5.437851084,8.299966087,5.289617893,7.584094971,0.995692272,0.993418174,0.995806336,0.993979395,631.173882,630.5215775,630.6678351,629.8449196,0.405898462,0.343109278,0.405339083,0.356334775,274.6627339,274.6694468,274.6684524,274.6917643,2519.257677,2513.786344,2517.381722,2511.795583,7.431367687,7.428485084,7.430946606,7.428509082,9.675953203,9.989116489,9.666843176,9.921236088,0.001048722,0.000861659,0.001054156,0.000900424,2.443099519,2.713033304,2.424354436,2.654683663,-0.496414879,-0.44760639,-0.497723057,-0.458022729,0.999159774,0.998423808,0.999173429,0.998620985,0
0.001256495,0.000998558,0.001180504,0.001007648,9.554632736,13.86795843,10.68069169,12.61608308,0.996424828,0.994804001,0.996001022,0.995273043,1336.248156,1334.484263,1335.427497,1334.482433,0.434079669,0.369567749,0.417314661,0.372682824,310.9294059,310.9231945,310.9269238,310.9273577,5335.437989,5324.069092,5331.029295,5325.313649,8.021533015,8.019206071,8.020670896,8.019103491,10.13921441,10.46740777,10.2229328,10.45219277,0.000867074,0.000716644,0.000825831,0.00072185,2.404814228,2.679409626,2.473614522,2.670319251,-0.557047466,-0.510154024,-0.545072492,-0.512304715,0.999800854,0.999614692,0.999764275,0.999626137,0
0.001678894,0.001416617,0.001707815,0.001400359,58.78099038,61.0523531,5.864116383,61.23212372,0.951708305,0.949800795,0.995243923,0.949645097,608.6035085,608.1007937,616.4866326,608.0055797,0.38745151,0.342731255,0.401813417,0.339891022,285.572751,285.5993798,285.4572215,285.6027625,2375.633044,2371.350822,2460.082414,2370.790195,7.486992343,7.484894225,7.488622464,7.484606264,9.850650847,10.0741926,9.770639775,10.09082898,0.000768885,0.00066631,0.000799585,0.000659767,2.586901496,2.778828651,2.493457141,2.791860107,-0.483440102,-0.448881878,-0.496220237,-0.446288341,0.99906311,0.998531044,0.999208057,0.998480493,0
0.001595054,0.001226854,0.001494159,0.001251136,7.324814593,10.3326259,5.298963861,10.12771389,0.996643732,0.995264831,0.997594297,0.995359436,1091.214276,1091.051454,1101.333552,1091.215747,0.426359442,0.354773986,0.412709646,0.359425302,315.7549198,315.7564112,315.557257,315.7516697,4357.532288,4353.873189,4400.035242,4354.735274,7.827404242,7.824771456,7.830858338,7.825182393,10.00803033,10.36863279,10.03839992,10.34624408,0.000871414,0.000697279,0.000837539,0.000707074,2.423122466,2.734447866,2.425467374,2.716630453,-0.534879748,-0.482041047,-0.53127788,-0.485346038,0.999664657,0.999309504,0.999649206,0.999340076,0
0.002093157,0.001749673,0.001945417,0.001660037,4.525659181,6.47234175,5.284849605,7.157583874,0.995562447,0.993640267,0.99481913,0.992973814,509.9273938,508.8532899,510.0349533,509.3505759,0.42675478,0.375445283,0.406296722,0.361956722,312.2264529,312.2551355,312.24874,312.2373839,2035.183916,2028.940818,2034.854964,2030.24472,7.352113323,7.349177234,7.352211298,7.3490515,9.475534906,9.73257567,9.588367299,9.806075417,0.001044025,0.000892642,0.000978631,0.000853648,2.32593533,2.552397593,2.424706857,2.617131136,-0.509260313,-0.46857661,-0.491715563,-0.457133864,0.999228171,0.998703828,0.999036048,0.99850145,1
0.001432031,0.001186761,0.001499628,0.001186843,92.41342249,95.19815885,6.50311269,95.11385905,0.931664587,0.929504108,0.995278323,0.929655354,676.1751995,675.2035929,688.6443835,676.0561348,0.383669339,0.334303154,0.400626991,0.335114549,261.0573825,261.092539,260.9105011,261.0570533,2612.287376,2605.616213,2748.074421,2609.11068,7.568796309,7.566226763,7.569230817,7.567377815,9.955835363,10.21499776,9.863462291,10.2117421,0.000762263,0.000644436,0.00079629,0.000646303,2.615178796,2.848301187,2.490228773,2.84391783,-0.486262539,-0.446624117,-0.500938995,-0.447346383,0.999165783,0.998593207,0.999314198,0.998607717,0
0.001363522,0.001127586,0.001267502,0.001108681,4.561473225,6.72957341,5.384159532,7.004077457,0.997899076,0.99689609,0.997518047,0.996769452,1085.587437,1084.047835,1084.661933,1084.038469,0.438864408,0.382565141,0.417640636,0.377966838,308.4862017,308.4477872,308.4547381,308.4470664,4337.788276,4329.461768,4333.263573,4329.149798,7.854421735,7.853408962,7.855172826,7.853415794,9.926319514,10.21475291,10.05024395,10.23848159,0.000885047,0.000748728,0.000831786,0.000737997,2.338289656,2.585001988,2.441264202,2.606005124,-0.553931287,-0.511795386,-0.535882089,-0.508320561,0.99975093,0.999555543,0.999680889,0.999533784,1
